DATE,BOEPRUKA
1695-01-01,3.63
1696-01-01,3
1697-01-01,3
1698-01-01,3
1699-01-01,3.75
1700-01-01,4.5
1701-01-01,4.5
1702-01-01,4.5
1703-01-01,4.5
1704-01-01,4.5
1705-01-01,4.5
1706-01-01,4.5
1707-01-01,4.5
1708-01-01,4.5
1709-01-01,4.5
1710-01-01,4.5
1711-01-01,4.5
1712-01-01,4.5
1713-01-01,4.5
1714-01-01,4.5
1715-01-01,4.5
1716-01-01,4.29
1717-01-01,4
1718-01-01,4
1719-01-01,4.67
1720-01-01,5
1721-01-01,5
1722-01-01,5
1723-01-01,5
1724-01-01,5
1725-01-01,5
1726-01-01,5
1727-01-01,5
1728-01-01,5
1729-01-01,5
1730-01-01,5
1731-01-01,5
1732-01-01,5
1733-01-01,5
1734-01-01,5
1735-01-01,5
1736-01-01,5
1737-01-01,5
1738-01-01,5
1739-01-01,5
1740-01-01,5
1741-01-01,5
1742-01-01,5
1743-01-01,5
1744-01-01,5
1745-01-01,5
1746-01-01,5
1747-01-01,5
1748-01-01,5
1749-01-01,5
1750-01-01,5
1751-01-01,5
1752-01-01,5
1753-01-01,5
1754-01-01,5
1755-01-01,5
1756-01-01,5
1757-01-01,5
1758-01-01,5
1759-01-01,5
1760-01-01,5
1761-01-01,5
1762-01-01,5
1763-01-01,5
1764-01-01,5
1765-01-01,5
1766-01-01,5
1767-01-01,5
1768-01-01,5
1769-01-01,5
1770-01-01,5
1771-01-01,5
1772-01-01,5
1773-01-01,5
1774-01-01,5
1775-01-01,5
1776-01-01,5
1777-01-01,5
1778-01-01,5
1779-01-01,5
1780-01-01,5
1781-01-01,5
1782-01-01,5
1783-01-01,5
1784-01-01,5
1785-01-01,5
1786-01-01,5
1787-01-01,5
1788-01-01,5
1789-01-01,5
1790-01-01,5
1791-01-01,5
1792-01-01,5
1793-01-01,5
1794-01-01,5
1795-01-01,5
1796-01-01,5
1797-01-01,5
1798-01-01,5
1799-01-01,5
1800-01-01,5
1801-01-01,5
1802-01-01,5
1803-01-01,5
1804-01-01,5
1805-01-01,5
1806-01-01,5
1807-01-01,5
1808-01-01,5
1809-01-01,5
1810-01-01,5
1811-01-01,5
1812-01-01,5
1813-01-01,5
1814-01-01,5
1815-01-01,5
1816-01-01,5
1817-01-01,5
1818-01-01,5
1819-01-01,5
1820-01-01,5
1821-01-01,5
1822-01-01,4.42
1823-01-01,4
1824-01-01,4
1825-01-01,4.08
1826-01-01,5
1827-01-01,4.5
1828-01-01,4
1829-01-01,4
1830-01-01,4
1831-01-01,4
1832-01-01,4
1833-01-01,4
1834-01-01,4
1835-01-01,4
1836-01-01,4.42
1837-01-01,5
1838-01-01,4.08
1839-01-01,5.17
1840-01-01,5
1841-01-01,5
1842-01-01,4.25
1843-01-01,4
1844-01-01,3.5
1845-01-01,2.71
1846-01-01,3.29
1847-01-01,5.29
1848-01-01,3.63
1849-01-01,2.92
1850-01-01,2.54
1851-01-01,3
1852-01-01,2.13
1853-01-01,3.79
1854-01-01,5.13
1855-01-01,5
1856-01-01,5.92
1857-01-01,6.63
1858-01-01,3.04
1859-01-01,2.79
1860-01-01,4.38
1861-01-01,5.17
1862-01-01,2.58
1863-01-01,4.42
1864-01-01,7.17
1865-01-01,4.75
1866-01-01,6.63
1867-01-01,2.46
1868-01-01,2.13
1869-01-01,3.13
1870-01-01,3.08
1871-01-01,2.92
1872-01-01,4.04
1873-01-01,4.75
1874-01-01,3.79
1875-01-01,3.17
1876-01-01,2.46
1877-01-01,2.92
1878-01-01,3.75
1879-01-01,2.38
1880-01-01,2.75
1881-01-01,3.54
1882-01-01,4.17
1883-01-01,3.46
1884-01-01,3.04
1885-01-01,2.83
1886-01-01,3.08
1887-01-01,3.25
