DATE,FEDFUNDS
1955-01-01,1.79
1956-01-01,2.73
1957-01-01,3.11
1958-01-01,1.57
1959-01-01,3.31
1960-01-01,3.22
1961-01-01,1.96
1962-01-01,2.71
1963-01-01,3.18
1964-01-01,3.5
1965-01-01,4.07
1966-01-01,5.11
1967-01-01,4.22
1968-01-01,5.66
1969-01-01,8.2
1970-01-01,7.18
1971-01-01,4.66
1972-01-01,4.43
1973-01-01,8.73
1974-01-01,10.5
1975-01-01,5.82
1976-01-01,5.05
1977-01-01,5.54
1978-01-01,7.93
1979-01-01,11.19
1980-01-01,13.36
1981-01-01,16.38
1982-01-01,12.26
1983-01-01,9.09
1984-01-01,10.23
1985-01-01,8.1
1986-01-01,6.81
1987-01-01,6.66
1988-01-01,7.57
1989-01-01,9.22
1990-01-01,8.1
1991-01-01,5.69
1992-01-01,3.52
1993-01-01,3.02
1994-01-01,4.2
1995-01-01,5.84
1996-01-01,5.3
1997-01-01,5.46
1998-01-01,5.35
1999-01-01,4.97
2000-01-01,6.24
2001-01-01,3.89
2002-01-01,1.67
2003-01-01,1.13
2004-01-01,1.35
2005-01-01,3.21
2006-01-01,4.96
2007-01-01,5.02
2008-01-01,1.93
2009-01-01,0.16
2010-01-01,0.18
2011-01-01,0.1
2012-01-01,0.14
2013-01-01,0.11
2014-01-01,0.09
2015-01-01,0.13
2016-01-01,0.4
