year,country,iso,ifs,debtgdp,revenue,expenditure
1870,Australia,AUS,193,0.172568,,
1871,Australia,AUS,193,0.191799,,
1872,Australia,AUS,193,0.15492,,
1873,Australia,AUS,193,0.142692,,
1874,Australia,AUS,193,0.194322,,
1875,Australia,AUS,193,0.233687,,
1876,Australia,AUS,193,0.158506,,
1877,Australia,AUS,193,0.176092,,
1878,Australia,AUS,193,0.172852,,
1879,Australia,AUS,193,0.208934,,
1880,Australia,AUS,193,0.222212,,
1881,Australia,AUS,193,0.232202,,
1882,Australia,AUS,193,0.23255,,
1883,Australia,AUS,193,0.24091,,
1884,Australia,AUS,193,0.293268,,
1885,Australia,AUS,193,0.312289,,
1886,Australia,AUS,193,0.342074,,
1887,Australia,AUS,193,0.325023,,
1888,Australia,AUS,193,0.328934,,
1889,Australia,AUS,193,0.321197,,
1890,Australia,AUS,193,0.346874,,
1891,Australia,AUS,193,0.373381,,
1892,Australia,AUS,193,0.440705,,
1893,Australia,AUS,193,0.517097,,
1894,Australia,AUS,193,0.548581,,
1895,Australia,AUS,193,0.600855,,
1896,Australia,AUS,193,0.53442,,
1897,Australia,AUS,193,0.581306,,
1898,Australia,AUS,193,0.510976,,
1899,Australia,AUS,193,0.514194,,
1900,Australia,AUS,193,0.509085,,
1901,Australia,AUS,193,0.467679,,
1902,Australia,AUS,193,0.464439,22,7.8
1903,Australia,AUS,193,0.497428,24,8.6
1904,Australia,AUS,193,0.478772,24,8.6
1905,Australia,AUS,193,0.491269,22,9
1906,Australia,AUS,193,0.47075,24,10
1907,Australia,AUS,193,0.412483,26,12
1908,Australia,AUS,193,0.423596,30,13
1909,Australia,AUS,193,0.406307,28,15
1910,Australia,AUS,193,0.387713,32,26
1911,Australia,AUS,193,0.258879,38,30
1912,Australia,AUS,193,0.373647,42,34
1913,Australia,AUS,193,0.370718,44,36
1914,Australia,AUS,193,0.381482,44,64
1915,Australia,AUS,193,0.443556,44,128
1916,Australia,AUS,193,0.460578,62,162
1917,Australia,AUS,193,0.512035,68,174
1918,Australia,AUS,193,0.61629,74,214
1919,Australia,AUS,193,0.606288,90,194
1920,Australia,AUS,193,0.612051,106,186
1921,Australia,AUS,193,0.59081,132,156
1922,Australia,AUS,193,0.633672,128,142
1923,Australia,AUS,193,0.592318,128,150
1924,Australia,AUS,193,0.588273,130,150
1925,Australia,AUS,193,0.55302,136,164
1926,Australia,AUS,193,0.604521,140,164
1927,Australia,AUS,193,0.597108,152,178
1928,Australia,AUS,193,0.623232,148,170
1929,Australia,AUS,193,0.638435,150,168
1930,Australia,AUS,193,0.702682,154,164
1931,Australia,AUS,193,0.898135,140,148
1932,Australia,AUS,193,0.98157,144,142
1933,Australia,AUS,193,0.952927,148,146
1934,Australia,AUS,193,0.901475,148,158
1935,Australia,AUS,193,0.867318,154,160
1936,Australia,AUS,193,0.797776,164,168
1937,Australia,AUS,193,0.735469,166,180
1938,Australia,AUS,193,0.686591,178,196
1939,Australia,AUS,193,0.71193,190,280
1940,Australia,AUS,193,0.677323,224,510
1941,Australia,AUS,193,0.664942,300,846
1942,Australia,AUS,193,0.652303,420,1394
1943,Australia,AUS,193,0.701784,588,1440
1944,Australia,AUS,193,0.787298,684,1286
1945,Australia,AUS,193,0.897326,754,1102
1946,Australia,AUS,193,0.92494,782,960
1947,Australia,AUS,193,0.886607,862,956
