year,country,iso,ifs,cpi,narrowm,money,stir,ltrate
1870,Australia,AUS,193,2.708333,23.3,54.3,4.88,4.911817
1871,Australia,AUS,193,2.666667,27.2,59.5,4.6,4.844633
1872,Australia,AUS,193,2.541667,36.2,68.5,4.6,4.73735
1873,Australia,AUS,193,2.541667,38.6,73.7,4.4,4.671958
1874,Australia,AUS,193,2.666667,37.9,79.3,4.5,4.653317
1875,Australia,AUS,193,2.75,37.5,88.5,4.6,4.507325
1876,Australia,AUS,193,2.791667,38.2,95.8,4.6,4.565908
1877,Australia,AUS,193,2.875,40.2,105.7,4.5,4.38885
1878,Australia,AUS,193,2.833333,38.7,106.2,4.8,4.4428
1879,Australia,AUS,193,2.75,37.2,108.3,4.9,4.60335
1880,Australia,AUS,193,2.666667,44.6,114.8,4.7,4.409408
1881,Australia,AUS,193,2.625,57.3,134,4.7,3.7815
1882,Australia,AUS,193,2.666667,55.6,149.3,4.5,3.8220916
1883,Australia,AUS,193,2.958333,52.4,155.9,4.7,4.016817
1884,Australia,AUS,193,3,56.6,171.9,4.9,3.996425
1885,Australia,AUS,193,3,61.8,182.9,4.8,4.03225
1886,Australia,AUS,193,3,58.5,186.3,4.7,4.01905
1887,Australia,AUS,193,2.916667,66.3,199.7,4.6,3.5752833
1888,Australia,AUS,193,2.791667,75.3,218.6,4.6,3.3496417
1889,Australia,AUS,193,2.791667,71.7,227.5,4.5,3.4856584
1890,Australia,AUS,193,2.791667,74,236.5,4.3,3.55445
1891,Australia,AUS,193,2.75,69.5,238.7,4.3,3.5774917
1892,Australia,AUS,193,2.708333,67.1,240.6,4.3,3.652375
1893,Australia,AUS,193,2.625,60.5,217.8,4.2,3.72025
1894,Australia,AUS,193,2.458333,65,216.6,3.9,3.573975
1895,Australia,AUS,193,2.291667,74.4,222.3,3.6,3.0679083
1896,Australia,AUS,193,2.291667,81,226.4,3.3,2.6616667
1897,Australia,AUS,193,2.291667,80.2,222.5,3.1,2.5364
1898,Australia,AUS,193,2.25,79.2,219.7,3,2.6442333
1899,Australia,AUS,193,2.375,88.5,233.2,3.1,2.6498583
1900,Australia,AUS,193,2.416667,89.8,243.2,3.1,2.9320333
1901,Australia,AUS,193,2.458333,93.5,251,2.88,3.2178083
1902,Australia,AUS,193,2.625,93.7,257.1,2.88,3.347825
1903,Australia,AUS,193,2.666667,93,256.2,3.13,3.62
1904,Australia,AUS,193,2.541667,90.2,257.6,3.25,3.963792
1905,Australia,AUS,193,2.541667,92.1,270.8,3.25,3.7524333
1906,Australia,AUS,193,2.583333,100.5,292.8,3.25,3.4622833
1907,Australia,AUS,193,2.583333,112.7,313.2,3.19,3.5348667
1908,Australia,AUS,193,2.666667,111.9,324.2,3.19,3.5890917
1909,Australia,AUS,193,2.708333,113.2,337.6,3.13,3.71705
1910,Australia,AUS,193,2.75,130.2,368,3.13,3.771925
1911,Australia,AUS,193,2.958333,147.2,410.7,3.25,3.7424667
1912,Australia,AUS,193,3.208333,150.9,435.2,3.38,4.2347333
1913,Australia,AUS,193,3.166667,143.4,440,3.3,4.549142
1914,Australia,AUS,193,3.333333,159.3,478.7,3.3,4.3560916
1915,Australia,AUS,193,3.708333,164,507.2,3.39286,4.75
1916,Australia,AUS,193,3.791667,207.5,557.1,3.5,5.16
1917,Australia,AUS,193,4.041667,245,613.9,3.6071428571,5.18
1918,Australia,AUS,193,4.333333,261.2,658.6,3.6428571429,5.07
1919,Australia,AUS,193,4.875,277.4,727.8,3.6428571429,5.6
1920,Australia,AUS,193,4.958333,307.8,777.5,3.7857142857,6.28
1921,Australia,AUS,193,4.5,301.1,814.9,3.875,7.05
1922,Australia,AUS,193,4.416667,296.9,838.3,3.9166666667,6.17
1923,Australia,AUS,193,4.416667,302,891.3,3.9583333333,5.6
1924,Australia,AUS,193,4.458333,306.8,895.5,4,5.97
1925,Australia,AUS,193,4.5,303.9,922.7,4.0416666667,5.33
1926,Australia,AUS,193,4.5,315.9,969.2,4.0416666667,5.12
1927,Australia,AUS,193,4.583333,311.1,997.1,4.0416666667,5.08
1928,Australia,AUS,193,4.625,301.2,1032.4,4.0416666667,5.07
1929,Australia,AUS,193,4.625,302.3,1079.7,4.5,5.23
1930,Australia,AUS,193,4.25,247.8,1026.7,5.22,5.84
1931,Australia,AUS,193,4.083333,241.8,996,5.88,6.94
1932,Australia,AUS,193,3.916667,254.8,1060.5,4.17,5.25
1933,Australia,AUS,193,3.916667,251.2,1063.6,3.35,4.32
1934,Australia,AUS,193,3.916667,286.3,1123.3,2.44,3.87
1935,Australia,AUS,193,3.958333,297.2,1134.7,1.95,3.35
1936,Australia,AUS,193,4.083333,313.1,1155.5,1.75,3.58
1937,Australia,AUS,193,4.166667,341.4,1225.6,1.75,3.88
1938,Australia,AUS,193,4.25,353.5,1281.7,1.75,3.84
1939,Australia,AUS,193,4.375,357.6,1294.7,1.75,3.91
1940,Australia,AUS,193,4.625,451.2,1400.2,1.58,3.3
1941,Australia,AUS,193,4.875,500.4,1482.7,1.5,3.23
1942,Australia,AUS,193,5.166667,647.8,1653.6,1.5,3.24
1943,Australia,AUS,193,5.208333,888.9,2161.1,1.46,3.23
1944,Australia,AUS,193,5.25,1147.1,2660.9,1.25,3.24
1945,Australia,AUS,193,5.375,1253.3,3003.5,,3.25
1946,Australia,AUS,193,5.5,1325.3,3003.9,,3.24
1947,Australia,AUS,193,5.916667,1395,3045.9,,3.17
1948,Australia,AUS,193,6.416667,1539,3217.9,2.25,3.129999999
1949,Australia,AUS,193,6.968818,2133,3522.9,1.99,3.119999999
1950,Australia,AUS,193,7.609278,2729,4095,1.949999999,3.139999999
1951,Australia,AUS,193,9.118934,2639,4871,2.009999999,3.529999999
1952,Australia,AUS,193,10.68959,2639,4819,2.489999999,4.339999999
1953,Australia,AUS,193,11.14706,2963,5157,3.069999999,4.479999999
1954,Australia,AUS,193,11.2233,3129,5600,3.339999999,4.459999999
1955,Australia,AUS,193,11.45204,3159,5766,3.789999999,4.519999999
1956,Australia,AUS,193,12.16875,3090,5817,4.709999999,5.029999999
1957,Australia,AUS,193,12.46991,3239,6207,4.569999999,5.019999999
1958,Australia,AUS,193,12.63384,3179,6354,4.289999999,4.97
1959,Australia,AUS,193,12.86639,3274,6677,3.989999999,4.909999999
1960,Australia,AUS,193,13.35436,3522,7192,4.389999999,4.989999999
1961,Australia,AUS,193,13.68984,3293,7301,4.989999999,5.269999999
1962,Australia,AUS,193,13.65172,3379,7846,4.289999999,4.919999999
1963,Australia,AUS,193,13.72415,3464,8517,3.819999999,4.58
1964,Australia,AUS,193,14.04819,3732,9556,4.119999999,4.72
1965,Australia,AUS,193,14.60478,3791,10337,4.849999999,5.209999999
1966,Australia,AUS,193,15.03938,3816,11138.61,4.919999999,5.25
1967,Australia,AUS,193,15.51972,4074,12142.28,4.55,5.25
1968,Australia,AUS,193,15.93145,4414,12996.31,4.809999999,5.209999999
1969,Australia,AUS,193,16.39655,4750,14234.46,5.25,5.714166666
1970,Australia,AUS,193,17.037,4985,14962.68,6.259999999,6.6466666667
1971,Australia,AUS,193,18.07013,5312,16267.55,6.139999999,6.7133333333
1972,Australia,AUS,193,19.12994,5796,19467.3,4.909999999,5.8316666667
1973,Australia,AUS,193,20.94076,7285,23637.37,6.299999999,6.9333333333
1974,Australia,AUS,193,24.10494,7451,25297.77,9.329999999,9.0366666667
1975,Australia,AUS,193,27.73803,8389,30816.56,8.459999999,9.7416666667
1976,Australia,AUS,193,31.4893,9572,39499.83,8.689999999,10.0308333333
1977,Australia,AUS,193,35.36256,10377,42872.1,9.739999999,10.2266666667
1978,Australia,AUS,193,38.16457,11266,48245.05,8.8,9.06
1979,Australia,AUS,193,41.63373,13146,57232,9.619999999,9.7491666667
1980,Australia,AUS,193,45.8498,14843,65457,11.5,11.6475
1981,Australia,AUS,193,50.29345,16627,72752,13.76,13.9583333333
1982,Australia,AUS,193,55.89891,16895,81035,15.175,15.375
1983,Australia,AUS,193,61.55228,17881,92562,12.841666666,13.8875
1984,Australia,AUS,193,63.98371,19180.3114186851,105399,12.245833333,13.525
1985,Australia,AUS,193,68.2956,20596.492118416,120667,14.0249999994,13.9541666667
1986,Australia,AUS,193,74.49994,23232.0662725875,131643,13.9666666666,13.4166666667
1987,Australia,AUS,193,80.82405,28123.3894175317,148219,13.1666666667,13.1916666667
1988,Australia,AUS,193,86.66906,33305.1670991926,173005,12.175,12.1041666667
1989,Australia,AUS,193,93.22074,36214.0091311034,207473.9605,15.1416666667,13.4083333333
1990,Australia,AUS,193,100,38942.3912437524,229475.8015,13.4625,13.18
1991,Australia,AUS,193,103.2227,41538.4360822761,234016.7225,9.9375,10.6908333333
1992,Australia,AUS,193,104.2404,49925.5256632065,243383.9018,7.605,9.22
1993,Australia,AUS,193,106.1304,58870.3223279508,258217.3071,6.2066666667,7.2808333333
1994,Australia,AUS,193,108.1415,65365.1607554787,283445.1861,8.1925,9.0416666667
1995,Australia,AUS,193,113.1573,69707.3701460977,308981.7428,8.4858860494,9.2108952766
1996,Australia,AUS,193,116.1134,79444.4717896963,335354.3076,7.5856209707,8.2092070575
1997,Australia,AUS,193,116.37465515,90188.7116493657,356961.8623,6.0774474931,6.9549185439
1998,Australia,AUS,193,117.3743134377,95894.6824298347,384572.7590125,5.0263464772,5.4929705283
1999,Australia,AUS,193,119.0269437709,105347.344867359,420189.243571,5.5014890479,6.009311943
