year,country,iso,ifs,pop,rgdpmad,rgdppc,rconpc,gdp,iy
1870,Australia,AUS,193,1775,3273.2394366197,13.8361565578,,208.78,0.1092656
1871,Australia,AUS,193,1675,3298.5074626866,13.9368644902,,211.56,0.1045791
1872,Australia,AUS,193,1722,3553.4262485482,15.0442468905,,227.4,0.130438
1873,Australia,AUS,193,1769,3823.6291690221,16.2194426726,,266.54,0.1249862
1874,Australia,AUS,193,1822,3834.7969264545,16.2682278217,,287.58,0.1419599
1875,Australia,AUS,193,1874,4138.2070437567,17.5921069733,,300.74,0.160564
1876,Australia,AUS,193,1929,4007.2576464489,17.0190332916,,311.26,0.1678778
1877,Australia,AUS,193,1995,4036.0902255639,17.1456520086,,313.66,0.2099336
1878,Australia,AUS,193,2062,4277.4005819593,18.2052613999,,324.3,0.181141
1879,Australia,AUS,193,2127,4204.9835448989,17.8872470043,,334.44,0.1615086
1880,Australia,AUS,193,2197,4285.389167046,18.2405850867,,344.32,0.1764724
1881,Australia,AUS,193,2269,4454.8259144998,18.9854189305,,362.82,0.2123455
1882,Australia,AUS,193,2348,4062.6064735946,17.2556716293,,382.32,0.1805267
1883,Australia,AUS,193,2447,4475.2758479771,19.0823819448,,412.1,0.187123
1884,Australia,AUS,193,2556,4303.5993740219,18.3177101566,,430.46,0.2035062
1885,Australia,AUS,193,2650,4422.2641509434,18.841391405,,441.62,0.1862147
1886,Australia,AUS,193,2741,4329.4418095586,18.4322844073,,452.9,0.2182139
1887,Australia,AUS,193,2835,4631.746031746,19.763552181,,472.52,0.2019936
1888,Australia,AUS,193,2932,4503.7517053206,19.1986768336,,503.06,0.210911
1889,Australia,AUS,193,3022,4746.856386499,20.266788201,,535.74,0.1861224
1890,Australia,AUS,193,3107,4457.6762149984,18.9973621828,,552.72,0.1699273
1891,Australia,AUS,193,3196,4666.4580725907,19.9126404066,,540.3,0.1954487
1892,Australia,AUS,193,3274,3995.4184483812,16.9793574027,,495.7,0.1367057
1893,Australia,AUS,193,3334,3707.8584283143,15.734931243,,431.1,0.1115229
1894,Australia,AUS,193,3395,3765.5375552283,15.9841201169,,401.2,0.1194606
1895,Australia,AUS,193,3460,3487.2832369942,14.7803819863,,385.62,0.110825
1896,Australia,AUS,193,3523,3684.927618507,15.6333123846,,400.82,0.129618
1897,Australia,AUS,193,3586,3419.966536531,14.4890880873,,417.8,0.1004498
1898,Australia,AUS,193,3642,3891.2685337727,16.5170118396,,441.24,0.1270017
1899,Australia,AUS,193,3691,3839.6098618261,16.2948471044,,477.6,0.1274656
1900,Australia,AUS,193,3741,4013.3654103181,17.0422112982,,492.42,0.1210629
1901,Australia,AUS,193,3795,3838.7351778656,16.2899888322,22.8507,504.56,0.1312649
1902,Australia,AUS,193,3850,3822.5974025974,16.2204548126,23.0631,534.66,0.1554054
1903,Australia,AUS,193,3896,4076.2320328542,17.3096186925,23.5522,515.4,0.1588785
1904,Australia,AUS,193,3946,4294.728839331,18.2492894909,24.6377,539.48,0.1160714
1905,Australia,AUS,193,4004,4281.968031968,18.1943302876,24.9941,534.66,0.1058559
1906,Australia,AUS,193,4062,4507.3855243722,19.1659847108,24.2845,576.82,0.1106472
1907,Australia,AUS,193,4127,4616.4283983523,19.637034678,27.1731,647.86,0.133829
1908,Australia,AUS,193,4197,4693.1141291399,19.9688141779,25.6892,645.46,0.141791
1909,Australia,AUS,193,4278,4980.5984104722,21.2156694736,25.2685,690,0.1308901
1910,Australia,AUS,193,4375,5209.8285714286,22.2142468214,25.438,750.22,0.130016
1911,Australia,AUS,193,4500,5103.7777777778,21.7490672663,27.6266,823.68,0.1432749
1912,Australia,AUS,193,4661,5098.4767217335,21.7256868318,27.3037,883.88,0.1689373
1913,Australia,AUS,193,4821,5156.8139390168,21.9828716119,28.0439,965.78,0.1832918
1914,Australia,AUS,193,4933,5026.7585647679,21.4155671284,26.9714,1040.44,0.1724537
1915,Australia,AUS,193,4971,4896.6002816335,20.8567646211,25.2199,1009.12,0.1527446
1916,Australia,AUS,193,4955,4878.3047426842,20.7790322672,25.0483,1166.88,0.124871
1917,Australia,AUS,193,4950,4791.1111111111,20.4080829484,21.6011,1230.7,0.1164384
1918,Australia,AUS,193,5032,4601.5500794913,19.5872373888,21.3702,1278.86,0.1007533
1919,Australia,AUS,193,5193,4715.5786635856,20.0881454868,22.6671,1378.82,0.1213974
1920,Australia,AUS,193,5358,4765.584173199,20.3079823,22.7858,1508.86,0.1644054
1921,Australia,AUS,193,5461,4910.8221937374,20.938747963,24.1007,1664.2,0.1758321
1922,Australia,AUS,193,5574,5063.6885540007,21.6040276009,23.9901,1659.4,0.1872279
1923,Australia,AUS,193,5697,5192.0308934527,22.1636398202,26.3609,1818.34,0.1807947
1924,Australia,AUS,193,5819,5417.4256745145,23.1464277836,29.2334,1889.4,0.1848311
1925,Australia,AUS,193,5943,5553.0876661619,23.7384284838,29.7612,2073.6,0.1753775
1926,Australia,AUS,193,6064,5572.5593667546,23.8233470318,29.5945,1997.8,0.1838457
1927,Australia,AUS,193,6188,5543.7944408533,23.6978416688,30.356,2082,0.1862348
1928,Australia,AUS,193,6304,5451.7766497462,23.2971354332,29.2924,2094.2,0.186314
1929,Australia,AUS,193,6396,5262.9768605378,22.4786177957,28.0923,2061.6,0.1787383
1930,Australia,AUS,193,6469,4708.3011284588,20.0824775026,29.4631,1885.8,0.1526181
1931,Australia,AUS,193,6527,4353.6080894745,18.5560691322,23.6234,1549.8,0.1367521
1932,Australia,AUS,193,6579,4563.7634898921,19.4588980338,23.2408,1457,0.0983471
1933,Australia,AUS,193,6631,4842.4068767908,20.6563608963,25.0851,1522.2,0.1052215
1934,Australia,AUS,193,6682,5059.8623166717,21.5910722086,26.2182,1632.8,0.1135693
1935,Australia,AUS,193,6732,5317.5876411171,22.699061893,25.8,1724.4,0.1396648
1936,Australia,AUS,193,6783,5515.848444641,23.5517898633,28.0165,1895.4,0.1397713
1937,Australia,AUS,193,6841,5745.6512205818,24.5413591649,28.7718,2067.6,0.1456028
1938,Australia,AUS,193,6904,5886.3267670915,25.1478334673,29.1542,2236.2,0.1610124
1939,Australia,AUS,193,6971,5845.5613254913,24.9719235312,26.1641,2190.4,0.1594283
1940,Australia,AUS,193,7042,6166.1391650099,26.3554177301,24.345,2384.4,0.1454545
1941,Australia,AUS,193,7111,6788.2300660948,29.0404227861,23.7585,2583,0.1165501
1942,Australia,AUS,193,7173,7505.452112087,32.1354457659,24.0162,3006.8,0.0768923
1943,Australia,AUS,193,7236,7702.8325041459,32.9879713082,21.791,3441.6,0.0503849
1944,Australia,AUS,193,7309,7362.0270898892,31.5136881491,20.3669,3498.2,0.053012
1945,Australia,AUS,193,7389,6916.898091758,29.5874844692,23.0412,3422.4,0.0661506
1946,Australia,AUS,193,7474,6594.9328338239,28.19437494,23.4821,3534.4,0.0981261
1947,Australia,AUS,193,7578,6664.3990498812,28.4954865971,27.8467,3758.4,
1948,Australia,AUS,193,7715,6967.4597537265,29.8148111186,31.0284,4512.2,
1949,Australia,AUS,193,7919,7236.7925243086,30.9978003788,32.6629,5207.4,0.1793103448
1950,Australia,AUS,193,8267.337,7411.5764241859,31.7793749054,33.7089,6145,0.2047556143
1951,Australia,AUS,193,8510.6,7507.343783047,32.2020445795,33.2588,8152.4,0.2211155378
1952,Australia,AUS,193,8691.212,7417.8376962845,31.8099415341,32.5682,8796.8,0.2579752175
1953,Australia,AUS,193,8857.924,7505.2574395536,32.1920243932,31.174,9968.6,0.2270188504
1954,Australia,AUS,193,9064.017,7790.585564877,33.4443452451,32.861,10886.4,0.2296793438
1955,Australia,AUS,193,9277.087,8027.4120529429,34.4849264039,35.0316,11594.6,0.2381761824
1956,Australia,AUS,193,9500.606,8108.3248794866,34.8408960504,35.0197,12550.8,0.239449626
1957,Australia,AUS,193,9712.569,8090.2385352423,34.7614430585,34.486,13658.8,0.2277933316
1958,Australia,AUS,193,9915.267,8305.4747794487,35.705567273,35.4616,13976.4,0.2391376451
1959,Australia,AUS,193,10131.73,8628.4384432312,37.1242839448,35.7542,15011.4,0.2354485101
1960,Australia,AUS,193,10361.27,8790.9082214126,37.8391584438,38.3253,16591,0.3079282407
1961,Australia,AUS,193,10598.81,8653.1379831744,38.7037284524,38.2782,17543,0.304307869
1962,Australia,AUS,193,10794.97,9026.7984120009,37.9751900631,37.6869,17745,0.2933794894
1963,Australia,AUS,193,11001.48,9399.9145387945,39.904835019,39.0317,19192,0.2977564261
1964,Australia,AUS,193,11218.3,9848.904076766,41.5126194474,40.634,21210,0.307250441
1965,Australia,AUS,193,11439.38,10151.8578273096,43.9007638343,42.1613,23154,0.31951619
1966,Australia,AUS,193,11655.08,10241.282709012,45.7792957191,43.2598,24329,0.3198699365
1967,Australia,AUS,193,11872.26,10732.7465090062,46.9473053069,45.0937,27125,0.3190621453
1968,Australia,AUS,193,12101.66,11148.3052738219,50.2082180366,46.6573,29146,0.3204982276
1969,Australia,AUS,193,12379.38,11560.9952805406,51.8587147739,48.4384,32686,0.3153737496
1970,Australia,AUS,193,12660.16,12023.544726133,53.2306705766,49.494,36828,0.3110152311
1971,Australia,AUS,193,12937.2,12289.5216893918,53.4900820648,49.6726,40287,0.3082246599
1972,Australia,AUS,193,13177,12404.4167868255,54.0450384401,51.1994,44451,0.2949564242
1973,Australia,AUS,193,13380.4,12878.0903410959,55.5400704697,53.4392,49709,0.2894995809
1974,Australia,AUS,193,13599.1,12985.1240155599,54.7674027753,54.1798,60234,0.2695389405
1975,Australia,AUS,193,13771.4,13169.8302278635,55.6057583572,54.1745,71093,0.2613862423
1976,Australia,AUS,193,13915.5,13558.8372677949,56.9579774295,56.0712,83150,0.2600304103
1977,Australia,AUS,193,14074.1,13546.3724145771,56.8890506938,56.591,95983,0.2607239675
1978,Australia,AUS,193,14248.6,13768.6509551816,58.5877252963,57.1339,104812,0.2659844704
1979,Australia,AUS,193,14421.9,14319.5418079449,59.8140341495,57.7537,118475,0.2648286329
1980,Australia,AUS,193,14615.9,14411.8391614611,61.1118000885,59.161,134315,0.2750829449
1981,Australia,AUS,193,14923.26,14660.3356103157,62.0711064033,61.1189,152043,0.2896234248
1982,Australia,AUS,193,15162,14411.8190212373,59.5575578674,61.1974,175506,0.2807926547
1983,Australia,AUS,193,15348,14238.9236382591,61.59661516,61.4266,189017,0.2585133945
1984,Australia,AUS,193,15510,15062.4113475177,64.1906288278,61.9074,213329,0.2623334196
1985,Australia,AUS,193,15695,15638.3561643836,66.1452736424,63.9638,234904,0.2816657492
1986,Australia,AUS,193,15900,15757.1698113208,66.5577207023,63.6461,260172,0.281304861
1987,Australia,AUS,193,16137,16293.301109252,69.1853374189,64.8465,285733,0.2778842771
1988,Australia,AUS,193,16400,16752.256097561,70.8332025922,66.7095,324044,0.281560565
1989,Australia,AUS,193,16681,17194.4128049877,72.4111288898,69.052,367792,0.2884139448
1990,Australia,AUS,193,16956,17172.6822363765,70.9128580121,68.579,404086,0.2615810133
1991,Australia,AUS,193,17202,16743.3239855179,70.0831056203,68.9807,414815,0.2347413665
1992,Australia,AUS,193,17419,16988.8740134155,71.8626502107,69.2388,422927,0.2305013364
1993,Australia,AUS,193,17608,17478.1852103217,74.1367264169,70.1318,443968,0.2353746911
1994,Australia,AUS,193,17781,18145.5684883279,76.6624206331,72.9907,466615,0.2490625519
1995,Australia,AUS,193,17976,18529.5582068362,78.8885214021,74.7442,495554,0.2443023728
1996,Australia,AUS,193,18195,19075.0824787765,80.9493397053,75.7046,528960,0.240030059
1997,Australia,AUS,193,18415,19612.0917730111,83.664202892,78.4431,556573,0.2461626787
1998,Australia,AUS,193,18621,20377.9497620105,87.1180295103,81.4166,588679,0.2561435016
1999,Australia,AUS,193,18830,20970.8942866641,89.5848171771,83.8227,620243,0.2559703554
2000,Australia,AUS,193,19053,21377.8231251814,90.2472628229,85.8776,660728,0.2492235889
2001,Australia,AUS,193,19294,21662.02566811,92.4264002948,87.2277,705221,0.2339610399
2002,Australia,AUS,193,19345,22236.9352729968,94.3409643644,89.3663,753388,0.2545782871
2003,Australia,AUS,193,19767,22666.2777885144,96.9819413294,93.2298,800720,0.2642255431
2004,Australia,AUS,193,19995,23322.0078830535,98.1709022157,96.1831,861327,0.2669703454
2005,Australia,AUS,193,20232,23764.6136873853,100,97.9226,921929,0.2767182402
2006,Australia,AUS,193,20489,24097.5734509629,101.4824724786,100,997534,0.27665275
2007,Australia,AUS,193,20750,24911.5778678155,104.6426337576,100.3681,1086530,0.2825489685
2008,Australia,AUS,193,21007,25218.3018906546,106.363756036,100.6207,1177940,0.2882247554
2009,Australia,AUS,193,21388.4830508475,25255.6388431377,105.9984379286,101.2158,1258460,0.2798884177
2010,Australia,AUS,193,21687.8005215124,25584.4883560418,106.4101313216,101.9216839977,1296800,0.2712899375
2011,Australia,AUS,193,22028.2007822686,26397.5359953532,107.3783186613,104.3437836907,1409800,0.271565203
2012,Australia,AUS,193,22420.4436114733,27353.154712853,109.4783035594,105.1973178193,1491050,0.2875424633
2013,Australia,AUS,193,22777.4726205997,27907.9951872247,110.2825928338,105.0585669972,1524380,0.2765136251
1870,Belgium,BEL,124,5096,2691.5227629513,9.9259649254,,4518.9805127736,
1871,Belgium,BEL,124,5137,2682.4648627604,9.8923509366,,4664.125886404,
1872,Belgium,BEL,124,5178,2823.6469679413,10.4171595843,,5585.6912442615,
1873,Belgium,BEL,124,5219,2820.0584403142,10.4038369668,,5974.7881866134,
1874,Belgium,BEL,124,5261,2889.7719064817,10.663013118,,5791.1512476754,
1875,Belgium,BEL,124,5303,2860.785027343,10.5552023979,,5204.9810347942,
1876,Belgium,BEL,124,5345,2874.616463985,10.6066481978,,5073.8172415227,
1877,Belgium,BEL,124,5394,2884.4840563589,10.6434391184,,5083.4169514645,
1878,Belgium,BEL,124,5442,2942.2574421169,10.8584456685,,4998.7009315382,
1879,Belgium,BEL,124,5492,2944.9198834669,10.8683863908,,4896.1247261133,
1880,Belgium,BEL,124,5541,3064.8213318896,11.3148990403,,5451.670608553,
1881,Belgium,BEL,124,5606,3069.6760613628,11.3330382964,,5512.7487492716,
1882,Belgium,BEL,124,5673,3136.0567600917,11.5809414635,,5568.027122965,
1883,Belgium,BEL,124,5740,3144.5341463415,11.6127107822,,5500.0748844978,
1884,Belgium,BEL,124,5807,3136.1048734286,11.5811464269,,5049.4323094618,
1885,Belgium,BEL,124,5876,3137.8131381893,11.5876027723,,4925.7562076933,
1886,Belgium,BEL,124,5919,3153.2723433012,11.6450949909,,4766.1805959517,
1887,Belgium,BEL,124,5962,3249.8914793693,12.0044982183,,5041.7384883977,
1888,Belgium,BEL,124,6007,3247.0852338938,11.9940450876,,5146.136798063,
1889,Belgium,BEL,124,6051,3378.500082631,12.4829851498,,5388.4177486374,
1890,Belgium,BEL,124,6096,3427.8480971129,12.6667347896,,5587.0506665456,
1891,Belgium,BEL,124,6164,3395.2804996755,12.544986562,,5540.4033220626,
1892,Belgium,BEL,124,6231,3441.8329321136,12.7188979611,,5366.1190385106,
1893,Belgium,BEL,124,6300,3455.4811111111,12.7698313527,,5349.6615288203,
1894,Belgium,BEL,124,6370,3468.289010989,12.817690294,,5210.0597165213,
1895,Belgium,BEL,124,6439,3511.5006988663,12.9792014107,,5334.3121647719,
1896,Belgium,BEL,124,6494,3551.4953803511,13.1282097633,,5435.0350728096,
1897,Belgium,BEL,124,6548,3586.4266951741,13.2584639698,,5730.7208094204,
1898,Belgium,BEL,124,6604,3614.7919442762,13.3642250564,,5778.265772341,
1899,Belgium,BEL,124,6662,3656.15295707,13.5184599743,,6091.4366135136,
1900,Belgium,BEL,124,6719,3731.0500074416,13.7977225334,,6328.9703071598,0.1331496214
1901,Belgium,BEL,124,6801,3719.358035583,13.753962859,,6127.2520983581,0.1140641822
1902,Belgium,BEL,124,6903,3739.3750543242,13.8290819253,,6258.8082738494,0.1056750696
1903,Belgium,BEL,124,6997,3772.3527225954,13.9527773047,,6442.4758694206,0.1344979815
1904,Belgium,BEL,124,7086,3820.8353090601,14.1343748294,,6656.8328035418,0.1134323217
1905,Belgium,BEL,124,7175,3881.64,14.3620891069,,6883.6836215135,0.1274172446
1906,Belgium,BEL,124,7258,3917.4721686415,14.4962376169,,7329.4234781317,0.1232566248
1907,Belgium,BEL,124,7338,3932.0692286727,14.5508603487,,7655.0005685768,0.1334813748
1908,Belgium,BEL,124,7411,3932.6200242882,14.5529099821,,7290.177741586,0.1396262253
1909,Belgium,BEL,124,7478,3970.9208344477,14.695871916,,7312.5216857491,0.1369158333
1910,Belgium,BEL,124,7498,4063.8668978394,15.0408252275,,7735.1081755386,0.1662032348
1911,Belgium,BEL,124,7517,4148.2649993348,15.3540092204,,7984.9952269999,0.1366688356
1912,Belgium,BEL,124,7590,4206.3885375494,15.5711678856,,8402.6548016567,0.1694821498
1913,Belgium,BEL,124,7666,4219.5408296374,15.6203590887,25.3588,8647.4460671833,0.1806660588
1914,Belgium,BEL,124,7723,3923.3325132721,11.4426936866,20.287,,
1915,Belgium,BEL,124,7759,3858.0793916742,9.374101116,15.4759,,
1916,Belgium,BEL,124,7762,4080.4346817831,10.491561279,17.6251,,
1917,Belgium,BEL,124,7729,3519.1106223315,8.7362551829,14.0711,,
1918,Belgium,BEL,124,7660,2861.2797650131,8.1620503688,16.9663,,
1919,Belgium,BEL,124,7628,3389.4199003671,10.0594985454,19.446,,
1920,Belgium,BEL,124,7552,3961.9935116526,15.1903459885,22.081,28518.8592127774,0.286
1921,Belgium,BEL,124,7504,4056.3069029851,15.9949296037,23.5416,28480.6324205175,0.22
1922,Belgium,BEL,124,7571,4413.4791969357,17.0701673174,25.3462,29126.7006122387,0.212
1923,Belgium,BEL,124,7635,4533.240340537,18.1565755334,25.8004,35221.8721604222,0.189
1924,Belgium,BEL,124,7707,4637.7883742053,18.95757229,27.2267,42557.8442744495,0.179
1925,Belgium,BEL,124,7779,4665.5526417277,18.9821678916,27.1536,44716.5562067684,0.165
1926,Belgium,BEL,124,7844,4783.5951045385,19.2232047866,27.0704,55235.2149018999,0.134
1927,Belgium,BEL,124,7904,4923.25923583,19.1422442649,26.8362,70110.2526703658,0.129
