Date,Period,rgdp,ngdp,rgdp_pch,ngdp_pch,rgdp_capita,cpi,hicp,cons_aggr,cons_gth,cons_gth_pc,OB_GDP,Pub_D,Int_Exp,avg_maturity,Int_3M,Int_1y,Int_5y,Int_10y,cds_5y,fitch_LC,fitch_FC,SP_LC,SP_FC,Moody_LC,Moody_FC,cpi_FE_WEO,rgdp_FE_WEO,ngdp_FE_WEO,Int_Exp_2,rfr
01/01/1960,1960q1,3123.162,543.3,2.2276819382,2.6450028339,17380,29.397,,102.3,,568.3996466254,0.2496318115,54.2910125142,3.1106202835,4.901369863,,,,,,,,,,,Aaa,,,,2.5274725275,3.93
04/01/1960,1960q2,3111.31,542.7,-0.3794871992,-0.1104362231,17253,29.573,,104.1,1.7595307918,578.4008134282,1.0302137067,54.2910125142,3.1324857196,4.901369863,,,,,,,,,,,Aaa,,,,2.5318795047,3.7
07/01/1960,1960q3,3119.057,546,0.2489947964,0.6080707573,17223,29.59,,104.7,0.5763688761,581.7345356958,0.0285714286,54.2910125142,3.0769230769,4.901369863,,,,,,,,,,,Aaa,,,,2.509617146,2.94
10/01/1960,1960q4,3081.3,541.1,-1.2105261302,-0.8974358974,16938,29.78,,105.6,0.8595988539,586.7351190972,-0.4981522542,54.2910125142,3.0863056736,4.901369863,,,,,,,,,,,Aaa,,,,2.4578399713,2.3
01/01/1961,1961q1,3102.251,545.9,0.6799402849,0.8870818703,16986,29.84,,105.6,0,577.0744076244,-1.0937728938,52.9541689573,3.0591683459,4.901369863,,,,,,,,,,,Aaa,,,,2.4639211545,2
04/01/1961,1961q2,3159.918,557.4,1.8588760226,2.1066129328,17236,29.83,,107.3,1.6098484848,586.364431232,-1.4268292683,52.9541689573,3.0498744169,4.901369863,,,,,,,,,,,Aaa,,,,2.4415405777,1.73
07/01/1961,1961q3,3212.606,568.2,1.6673850397,1.9375672766,17450,29.947,,108.4,1.0251630941,592.3756229781,-0.9690358902,52.9541689573,3.0623020063,4.901369863,,,,,,,,,,,Aaa,,,,2.436155914,1.68
10/01/1961,1961q4,3277.717,581.6,2.0267346821,2.3583245336,17728,29.99,,110.7,2.1217712177,604.9444784471,-1.0687757909,52.9541689573,3.0261348006,4.901369863,,,,,,,,,,,Aaa,,,,2.4892134086,2.4
01/01/1962,1962q1,3336.753,595.2,1.8011317023,2.3383768913,17983,30.107,,112.8,1.8970189702,607.1991860947,-1.5463709677,50.8441261722,3.0241935484,4.901369863,,3.2,3.84,4.02,,,,,,,Aaa,,,,2.5098425197,2.46
04/01/1962,1962q2,3372.706,602.6,1.0774846085,1.2432795699,18113,30.22,,114.6,1.5957446809,616.888534809,-0.9820836098,50.8441261722,3.0534351145,4.901369863,,3.01,3.63,3.88,,,,,,,Aaa,,,,2.5444462567,2.61
07/01/1962,1962q3,3404.833,609.6,0.9525585687,1.161632924,18215,30.307,,116.1,1.3089005236,624.9629920709,-0.6450131234,50.8441261722,3.1003937008,4.901369863,,3.19,3.74,3.99,,,,,,,Aaa,,,,2.5373374016,2.85
10/01/1962,1962q4,3418.046,613.1,0.3880660226,0.5741469816,18212,30.38,,118,1.6365202412,635.190637936,-1.6073059361,50.8441261722,3.1153156092,4.901369863,,2.99,3.6,3.9,,,,,,,Aaa,,,,2.5482747705,2.92
01/01/1963,1963q1,3456.08,622.7,1.1127410222,1.5658130811,18354,30.477,,119,0.8474576271,631.3566740767,-0.9768786127,49.4358493616,3.1154649109,4.901369863,,3.03,3.64,3.89,,,,,,,Aaa,,,,2.5426356589,2.97
04/01/1963,1963q2,3501.134,631.8,1.303615657,1.4613778706,18534,30.533,,120,0.8403361345,636.6621923463,-1.1607594937,49.4358493616,3.1339031339,4.901369863,,3.14,3.75,3.96,,,,,,,Aaa,,,,2.5656689065,2.96
07/01/1963,1963q3,3569.479,645,1.9520818112,2.0892687559,18823,30.72,,122.7,2.25,650.9870916741,-0.8766274024,49.4358493616,3.1472868217,4.901369863,,3.53,3.91,4.03,,,,,,,Aaa,,,,2.5480554314,3.33
10/01/1963,1963q4,3594.954,654.8,0.7136895889,1.519379845,18885,30.803,,124.3,1.30399348,659.4759209053,-1.1643249847,49.4358493616,3.1765424557,4.901369863,,3.73,4.01,4.12,,,,,,,Aaa,,,,2.5411280846,3.45
01/01/1964,1964q1,3672.708,671.1,2.162864949,2.4893097129,19233,30.93,,126.9,2.0917135961,663.9077958157,-0.7532777116,46.9164509332,3.1589926986,4.901369863,,3.83,4.08,4.18,,,,,,,Aaa,,,,2.5548498845,3.46
04/01/1964,1964q2,3716.382,680.8,1.1891498044,1.4453881687,19401,30.98,,129.2,1.8124507486,675.9407976311,-2.4535840188,46.9164509332,3.1727379553,4.901369863,,3.86,4.08,4.2,,,,,,,Aaa,,,,2.5630011455,3.49
07/01/1964,1964q3,3766.862,692.8,1.3583103136,1.7626321974,19593,31.05,,131.8,2.0123839009,689.5433214224,-0.9942263279,46.9164509332,3.1466512702,4.901369863,,3.77,4.05,4.19,,,,,,,Aaa,,,,2.5305895439,3.46
10/01/1964,1964q4,3780.219,698.4,0.3545922309,0.8083140878,19593,31.193,,132.5,0.531107739,693.2055393662,-0.8820160367,46.9164509332,3.1500572738,4.901369863,,3.93,4.07,4.17,,,,,,,Aaa,,,,2.5259421081,3.58
01/01/1965,1965q1,3873.452,719.2,2.4663385904,2.9782359679,20021,31.29,,135.5,2.2641509434,700.1643190062,-0.010567297,44.0597000417,3.1284760845,4.901369863,,4.01,4.13,4.2,,,,,,,Aaa,,,,2.4926686217,3.97
04/01/1965,1965q2,3926.406,732.4,1.3671009735,1.8353726363,20240,31.49,,137.7,1.6236162362,711.5323005694,-0.9388312398,44.0597000417,3.1403604588,4.901369863,,4.02,4.15,4.21,,,,,,,Aaa,,,,2.4705730177,4.08
07/01/1965,1965q3,4006.152,750.2,2.0310176788,2.4303659203,20582,31.583,,141.3,2.614379085,730.1344522183,-0.4349680171,44.0597000417,3.0925086644,4.901369863,,4.09,4.2,4.25,,,,,,,Aaa,,,,2.4332120908,4.07
10/01/1965,1965q4,4100.631,773.1,2.358347861,3.0525193282,20999,31.75,,146.1,3.3970276008,754.9373210835,-1.7009829281,44.0597000417,3.0526451947,4.901369863,,4.47,4.51,4.48,,,,,,,Aaa,,,,2.4777006938,4.17
01/01/1966,1966q1,4201.891,797.3,2.4693760546,3.1302548183,21464,32.047,,149.2,2.12183436,762.8747903628,-1.058203713,40.5304827062,3.0352439483,4.901369863,,4.93,4.92,4.77,,,,,,,Aaa,,,,2.4975633528,4.56
04/01/1966,1966q2,4219.097,807.2,0.4094823021,1.2416907061,21496,32.337,,151.6,1.6085790885,775.1462347118,0.5004955401,40.5304827062,3.0723488603,4.901369863,,4.93,4.9,4.78,,,,,,,Aaa,,,,2.5272487723,4.91
07/01/1966,1966q3,4249.152,820.8,0.7123562222,1.6848364718,21583,32.617,,155.3,2.4406332454,794.0647114165,-1.8050682261,40.5304827062,3.1067251462,4.901369863,,5.52,5.4,5.15,,,,,,,Aaa,,,,2.5413711584,5.41
10/01/1966,1966q4,4285.582,834.9,0.8573475366,1.7178362573,21701,32.883,,157.3,1.2878300064,804.2909150407,-1.235265932,40.5304827062,3.126122889,4.901369863,,5.44,5.21,5,,,,,,,Aaa,,,,2.5378921396,5.56
01/01/1967,1967q1,4324.926,846,0.918055004,1.329500539,21847,32.967,,160.2,1.8436109345,811.3158814324,-1.4539007092,39.1105263158,3.1087470449,4.901369863,,4.59,4.65,4.58,,,,,,,Aaa,,,,2.5271174706,4.82
04/01/1967,1967q2,4328.72,851.1,0.0877240443,0.6028368794,21812,33.167,,163.1,1.8102372035,826.002623356,-0.8796992481,39.1105263158,3.1136176712,4.901369863,,4.25,4.76,4.83,,,,,,,Aaa,,,,2.5588768116,3.99
