date,United States,Germany,Canada,France,Italy,Spain,Belgium,Australia,Austria,Denmark,Finland,Iceland,Ireland,Japan,Korea,Netherlands,New Zealand,Norway,Portugal,Sweden,United Kingdom
Monthly,Markit,Bloomberg,Markit,Markit,Markit,Markit,Bloomberg,Markit,Markit,Bloomberg,Markit,Bloomberg,Markit,Bloomberg,Bloomberg,Markit,Markit,Markit,Bloomberg,Bloomberg,Markit
1/31/2003,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,75.81245,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/28/2003,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,99.5043157895,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/31/2003,#N/A,10.15,#N/A,#N/A,#N/A,#N/A,7.475,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,155.1964285714,#N/A,#N/A,#N/A,12.75,#N/A,#N/A
4/30/2003,#N/A,10.078125,#N/A,#N/A,#N/A,#N/A,7.5859375,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,124.21875,#N/A,#N/A,#N/A,12.046875,#N/A,#N/A
5/31/2003,#N/A,7.81665,#N/A,#N/A,#N/A,#N/A,6.16465,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96.0340454545,#N/A,#N/A,#N/A,8.66245,#N/A,#N/A
6/30/2003,#N/A,7.7182380952,#N/A,#N/A,#N/A,#N/A,6.3255238095,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,87.6884761905,#N/A,#N/A,#N/A,8.9245714286,#N/A,#N/A
7/31/2003,#N/A,7.4694210526,#N/A,#N/A,#N/A,#N/A,6.3015,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,89.1376956522,#N/A,#N/A,#N/A,9.2893333333,#N/A,#N/A
8/31/2003,#N/A,6.9407222222,#N/A,#N/A,#N/A,#N/A,5.9495555556,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,79.0084285714,#N/A,#N/A,#N/A,8.8518888889,#N/A,#N/A
9/30/2003,#N/A,5.5198571429,#N/A,#N/A,#N/A,#N/A,4.8095714286,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,71.7916363636,#N/A,#N/A,#N/A,7.8392380952,#N/A,#N/A
10/31/2003,#N/A,4.9916666667,#N/A,#N/A,#N/A,#N/A,4.6083333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,68.5166521739,#N/A,#N/A,#N/A,7.9107142857,#N/A,#N/A
11/30/2003,#N/A,3.875,#N/A,#N/A,#N/A,#N/A,4.2333333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,67.0279,#N/A,#N/A,#N/A,6.3833333333,#N/A,#N/A
12/31/2003,#N/A,4.0166666667,#N/A,#N/A,#N/A,#N/A,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,55.9901363636,#N/A,#N/A,#N/A,6.25,#N/A,#N/A
1/31/2004,#N/A,4.5001,#N/A,#N/A,#N/A,#N/A,3.88065,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,52.0293809524,#N/A,#N/A,#N/A,6.3028,#N/A,#N/A
2/29/2004,#N/A,4.8907,#N/A,#N/A,#N/A,#N/A,3.44805,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,59.44485,#N/A,#N/A,#N/A,6.84155,#N/A,#N/A
3/31/2004,#N/A,4.9393913043,#N/A,#N/A,#N/A,#N/A,3.6667391304,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,55.4896086957,#N/A,#N/A,#N/A,6.9782173913,#N/A,#N/A
