DATE,USA,GBR,DEU,FRA,JPN,CAN,ESP,SWE,ITA
1950-01-01,3.76384,,,,,,,,
1950-04-01,3.37838,,,,,,,,
1950-07-01,6.12315,,,,,,,,
1950-10-01,3.82496,,,,,,,,
1951-01-01,5.02654,,,,,,,,
1951-04-01,2.40785,,,,,,,,
1951-07-01,2.11901,,,,,,,,
1951-10-01,1.36441,,,,,,,,
1952-01-01,1.00953,,,,,,,,
1952-04-01,0.33315,,,,,,,,
1952-07-01,1.8539,,,,,,,,
1952-10-01,3.55882,,,,,,,,
1953-01-01,1.91501,,,,,,,,
1953-04-01,0.97812,,,,,,,,
1953-07-01,-0.15294,,,,,,,,
1953-10-01,-1.32755,,,,,,,,
1954-01-01,-0.15524,,,,,,,,
1954-04-01,0.20731,,,,,,,,
1954-07-01,1.26713,,,,,,,,
1954-10-01,2.22165,,,,,,,,
1955-01-01,3.37247,,,,,,,,
1955-04-01,2.02997,0.52966,,2.42108,,,,,
1955-07-01,2.06063,3.56164,,2.04967,,,,,
1955-10-01,1.6013,1.93325,,2.37502,,,,,
1956-01-01,0.61672,2.49551,,1.84734,,,,,
1956-04-01,1.43019,1.40242,,3.473,,,,,
1956-07-01,1.16383,1.59431,,2.22856,,,,,
1956-10-01,2.05752,2.53356,,3.44278,,,,,
1957-01-01,2.01604,0.14752,,2.91699,,,,,
1957-04-01,0.46749,1.47303,,2.02272,,,,,
1957-07-01,1.58629,2.10488,,4.62612,,,,,
1957-10-01,-0.95773,2.25698,,4.03556,,,,,
1958-01-01,-1.53458,1.68578,,5.38565,,,,,
1958-04-01,0.93937,-1.26474,,3.06199,,,,,
1958-07-01,2.93993,1.88679,,1.63561,,,,,
1958-10-01,2.81488,0.88345,,1.55836,,,,,
1959-01-01,2.13829,0.06736,,1.78518,,,,,
1959-04-01,2.5631,3.31538,,3.19243,,,,,
1959-07-01,0.19077,0.19547,,1.98606,,,,,
1959-10-01,0.78065,3.47911,,3.53899,,,,,
1960-01-01,2.645,1.68107,,2.34198,,,,,
1960-04-01,-0.11044,0.95797,,2.90687,,,,,
1960-07-01,0.60807,1.48454,,1.97476,,,,,
1960-10-01,-0.89744,2.17162,,1.9281,,,,,
1961-01-01,0.88708,2.36162,,2.34594,,,,,
1961-04-01,2.10661,-0.36049,,0.96852,,2.51267,,,
1961-07-01,1.93757,3.42981,,2.53397,,2.58759,,,
1961-10-01,2.35832,-0.97943,,2.71303,,1.85132,,,
1962-01-01,2.33838,1.2152,,4.18975,,2.47901,,,
1962-04-01,1.24328,2.44311,,2.65171,,1.03449,,,
1962-07-01,1.16163,1.04933,,2.44837,,2.07953,,,
1962-10-01,0.57415,0.57991,,2.51455,,2.46715,,,
1963-01-01,1.56581,-0.77769,,0.10136,,0.72832,,,
1963-04-01,1.46138,5.13514,,7.22965,,1.85437,,,
1963-07-01,2.08927,1.52956,,4.3689,,1.67695,,,
1963-10-01,1.51938,3.17762,,0.66952,,4.19026,,,
1964-01-01,2.48931,0.23313,,3.25944,,2.19735,,,
1964-04-01,1.44539,3.40311,,1.46803,,1.55177,,,
1964-07-01,1.76263,2.20197,,2.42466,,2.16558,,,
1964-10-01,0.80831,2.83795,,2.27793,,1.42554,,,
1965-01-01,2.97824,1.82474,,1.3647,,3.38094,,,
1965-04-01,1.83537,0.48673,,2.21337,,2.37734,,,
1965-07-01,2.43037,2.39982,,2.01791,,2.39843,,,
1965-10-01,3.05252,1.91357,,1.82823,,3.60956,,,
1966-01-01,3.13025,1.4557,,1.81062,,3.25746,,,
1966-04-01,1.24169,1.67394,,2.70997,,3.25599,,,
1966-07-01,1.68484,1.85091,,1.877,,1.36898,,,
1966-10-01,1.71784,1.06426,,1.63771,,1.85586,,,
1967-01-01,1.3295,1.05305,,2.50597,,1.12777,,,
1967-04-01,0.60284,2.47739,,1.56736,,3.15695,,,
1967-07-01,1.82117,0.63315,,2.317,,1.00352,,,
1967-10-01,1.91553,1.449,,0.89702,,1.72569,,,
1968-01-01,3.15897,4.45405,,3.3557,,2.17781,,,
1968-04-01,2.76589,1.05254,,-3.81599,,3.07802,,,
1968-07-01,1.70885,3.13362,,10.8588,,2.32452,,,
1968-10-01,1.86916,2.50324,,3.41269,,2.57331,,,
1969-01-01,2.60798,1.70105,,3.84307,,2.74859,,,
1969-04-01,1.60739,1.44076,,2.53351,,1.96719,,,
1969-07-01,2.03678,2.08146,,2.36317,,1.94574,,,
1969-10-01,0.84302,2.73469,,2.46649,,2.59728,,,
1970-01-01,1.22994,2.65411,,3.53364,,2.13633,,,
1970-04-01,1.5757,4.3976,4.97419,3.02609,,0.78981,,,
1970-07-01,1.71947,3.28274,3.56504,2.69325,,2.02903,,,
1970-10-01,0.27561,3.62844,0.83091,2.33191,,0.84181,,,
1971-01-01,4.24187,1.41141,2.81464,3.55561,,1.49707,,,
1971-04-01,1.8984,3.31214,3.06027,2.09138,,4.17156,,,
1971-07-01,1.80266,3.16062,3.3229,3.26495,,3.30885,,,
1971-10-01,1.12683,2.50502,0.32258,1.97538,,2.6571,,,
1972-01-01,3.36796,1.31684,2.14362,3.37486,,1.65206,,,
1972-04-01,2.94213,4.679,1.87923,2.37817,,3.83781,,,
