code,country,year,rev,exp,prim_exp,ie,pb,d,rgc,rltirc,gg_debt,gg_budg
111,United States,1800,2.36362,2.34989,1.6146,0.735294,0.74902,18.0911,,,0,0
111,United States,1801,2.44981,1.77936,0.94356,0.835796,1.50625,15.2865,4.97677,,0,0
111,United States,1802,3.06041,1.60449,0.762653,0.841837,2.29776,15.7255,4.8265,,0,0
111,United States,1803,2.26721,1.60902,0.820287,0.788729,1.44693,17.7104,1.37583,,0,0
111,United States,1804,2.21461,1.63277,0.833708,0.799064,1.3809,15.4142,3.00994,,0,0
111,United States,1805,2.29071,1.77466,1.07382,0.700845,1.21689,12.791,5.40047,,0,0
111,United States,1806,2.55501,1.60985,0.998522,0.61133,1.55649,11.3659,5.06188,,0,0
111,United States,1807,2.90745,1.48121,0.883688,0.597518,2.02376,11.5596,4.31146,,0,0
111,United States,1808,3.70087,2.15445,1.41085,0.743601,2.29002,12.3694,-4.09938,,0,0
111,United States,1809,1.54841,2.04801,1.47709,0.570916,0.071315,10.5922,8.20772,,0,0
111,United States,1810,1.59592,1.38725,0.903401,0.483844,0.692517,8.16429,5.94189,,0,0
111,United States,1811,2.4869,1.38931,0.964138,0.425172,1.52276,7.79483,5.03338,,0,0
111,United States,1812,1.7225,3.56432,3.13357,0.430756,-1.41107,9.83533,1.10513,,0,0
111,United States,1813,2.30177,5.08539,4.50771,0.577689,-2.20594,13.0799,3.9466,,0,0
111,United States,1814,1.59515,4.95307,4.29786,0.655207,-2.70271,14.2416,4.69942,,0,0
111,United States,1815,1.93707,4.02808,3.31933,0.708744,-1.38227,15.6817,2.37312,,0,0
111,United States,1816,5.5829,3.58162,2.737,0.844614,2.8459,14.4604,-1.38045,,0,0
111,United States,1817,3.90779,2.57898,1.82467,0.754309,2.08312,12.2157,2.86117,,0,0
111,United States,1818,2.64522,2.42953,1.69228,0.737255,0.952941,11.7071,3.31222,,0,0
111,United States,1819,3.263,2.84668,2.1618,0.684881,1.10119,12.0711,2.85809,,0,0
111,United States,1820,2.72576,2.78369,2.00229,0.781403,0.723476,13.7175,2.44845,,0,0
111,United States,1821,2.40082,2.60478,1.76672,0.838056,0.634102,15.4114,4.52044,,0,0
111,United States,1822,2.87386,2.13068,1.39588,0.734801,1.47798,12.9085,5.77661,,0,0
111,United States,1823,2.93863,2.10401,1.39971,0.704292,1.53891,12.9142,1.80616,,0,0
111,United States,1824,2.58069,2.70666,2.04128,0.66538,0.539414,11.1569,5.67158,,0,0
111,United States,1825,2.56953,1.86553,1.35177,0.513765,1.21776,9.53576,5.27464,,0,0
111,United States,1826,2.85747,1.92715,1.47772,0.449434,1.37975,8.36957,3.7358,,0,0
111,United States,1827,2.64585,1.85933,1.45772,0.401613,1.18813,7.77362,3.49231,,0,0
111,United States,1828,2.8109,1.86095,1.50919,0.351759,1.3017,6.63122,3.01772,,0,0
111,United States,1829,2.74342,1.67989,1.3989,0.280995,1.34453,5.3663,-0.386035,,0,0
111,United States,1830,2.66281,1.62304,1.4179,0.205145,1.24491,4.19325,10.4861,,0,0
111,United States,1831,2.65862,1.42106,1.29208,0.128984,1.36654,2.26673,9.2072,,0,0
111,United States,1832,2.75896,1.49688,1.42996,0.066926,1.329,0.6071,6.80144,,0,0
111,United States,1833,2.61541,1.77334,1.74992,0.023421,0.865485,0.366718,6.57173,,0,0
111,United States,1834,1.63481,1.39745,1.3823,0.015154,0.252513,0.002851,-1.97112,,0,0
111,United States,1835,2.16963,1.07612,1.07257,0.003552,1.09706,0.002327,6.79846,,0,0
111,United States,1836,2.68075,1.62806,1.62541,0.002652,1.05534,0.017774,4.36006,,0,0
111,United States,1837,1.36361,2.03514,2.03338,0.001753,-0.669777,0.180765,-0.353223,,0,0
111,United States,1838,1.49619,1.92634,1.92548,0.000853,-0.429295,0.593515,1.86766,,0,0
111,United States,1839,1.62955,1.39229,1.37158,0.020704,0.257971,0.184938,7.6405,,0,0
111,United States,1840,1.12601,1.40567,1.39555,0.010116,-0.269538,0.303526,-2.27683,,0,0
111,United States,1841,0.966743,1.52328,1.50694,0.016342,-0.540195,0.779472,0.714972,,0,0
111,United States,1842,1.19617,1.50934,1.46299,0.046347,-0.266826,1.20964,2.04492,,0,0
111,United States,1843,0.507518,0.724817,0.692787,0.032029,-0.185269,2.00141,4.48552,,0,0
111,United States,1844,1.61637,1.23142,1.13032,0.101103,0.486053,1.29339,8.33416,,0,0
111,United States,1845,1.53221,1.17265,1.11948,0.05317,0.41273,0.814161,4.48555,,0,0
111,United States,1846,1.44035,1.3466,1.30572,0.040883,0.134627,0.754122,3.69601,,0,0
111,United States,1847,1.13473,2.45315,2.40523,0.047923,-1.27049,1.66283,6.00254,,0,0
111,United States,1848,1.50594,1.91222,1.81146,0.100759,-0.30552,1.98251,6.0886,,0,0
111,United States,1849,1.3314,1.92201,1.76988,0.152133,-0.438481,2.69036,0.85824,,0,0
111,United States,1850,1.71868,1.55865,1.40958,0.149074,0.309105,2.5011,3.95611,,0,0
111,United States,1851,1.93945,1.76048,1.62406,0.136421,0.315387,2.52048,7.81216,,0,0
111,United States,1852,1.67892,1.48855,1.35382,0.134725,0.325093,2.22967,8.99989,,0,0
111,United States,1853,1.79502,1.40437,1.29752,0.106849,0.497493,1.74308,10.7151,,0,0
111,United States,1854,1.90157,1.49562,1.41649,0.079129,0.485081,1.08848,3.93488,,0,0
111,United States,1855,1.6152,1.47659,1.4194,0.057192,0.195798,0.879585,1.00179,,0,0
111,United States,1856,1.76494,1.65803,1.61146,0.046568,0.15348,0.762012,4.89617,,0,0
111,United States,1857,1.59789,1.57081,1.53193,0.038879,0.065964,0.664991,0.588049,,0,0
111,United States,1858,1.14688,1.82362,1.7851,0.03852,-0.638225,1.10406,3.11571,,0,0
111,United States,1859,1.24763,1.61117,1.54964,0.061535,-0.302006,1.36454,5.13634,,0,0
111,United States,1860,1.25006,1.4076,1.33677,0.070836,-0.086711,1.4458,5.08303,,0,0
111,United States,1861,0.888675,1.42468,1.33905,0.085635,-0.450375,1.93924,0.112255,,0,0
111,United States,1862,0.943503,8.61637,8.37699,0.239383,-7.43349,9.51321,5.29627,,0,0
111,United States,1863,1.53517,9.73629,9.39941,0.336875,-7.86424,15.2537,8.78464,,0,0
111,United States,1864,2.77736,9.0819,8.51845,0.563445,-5.74109,19.0578,5.65599,,0,0
111,United States,1865,3.54563,13.7862,12.9638,0.822333,-9.41821,28.4523,-2.93831,,0,0
111,United States,1866,6.09672,5.69004,4.23622,1.45382,1.8605,30.1078,1.6847,,0,0
111,United States,1867,5.53451,4.0332,2.41129,1.62191,3.12321,29.8947,5.90422,,0,0
111,United States,1868,4.67325,4.34724,2.72945,1.61779,1.9438,29.7632,3.84832,,0,0
111,United States,1869,4.31782,3.75818,2.23689,1.52129,2.08093,29.6253,5.30528,,0,0
111,United States,1870,5.04422,3.79804,2.21291,1.58512,2.8313,29.8841,-0.252637,,0,0
111,United States,1871,4.77662,3.64084,2.07601,1.56482,2.70061,28.9352,-0.325038,,0,0
111,United States,1872,3.99772,2.96557,1.71148,1.25409,2.28625,23.6161,19.7268,,0,0
111,United States,1873,3.58858,3.12199,1.99563,1.12636,1.59295,23.1313,0.259988,,0,0
111,United States,1874,3.52781,3.50068,2.26158,1.2391,1.26622,24.9848,-4.27427,,0,0
111,United States,1875,3.40144,3.24345,2.02585,1.2176,1.37559,25.4668,2.24085,,0,0
111,United States,1876,3.38742,3.05346,1.89885,1.15461,1.48857,24.5433,6.63921,,0,0
111,United States,1877,3.06342,2.62719,1.56988,1.05731,1.49355,22.9454,7.49267,,0,0
111,United States,1878,2.84288,2.61348,1.48299,1.13048,1.35989,23.8162,5.09847,,0,0
111,United States,1879,2.82791,2.75687,1.66911,1.08776,1.1588,23.7417,10.0067,,0,0
111,United States,1880,2.79289,2.24119,1.43933,0.801859,1.35356,17.5089,17.2838,,0,0
111,United States,1881,3.04766,2.20234,1.50536,0.696984,1.5423,17.0577,-0.312511,4.26,0,0
111,United States,1882,3.00108,1.91865,1.39003,0.528611,1.61104,13.8102,11.2682,4.31,0,0
111,United States,1883,3.18478,2.12225,1.64919,0.473053,1.53558,13.7691,-3.71232,7.77828,0,0
111,United States,1884,2.85065,1.99678,1.55037,0.446409,1.30028,13.2939,2.19481,7.85143,0,0
111,United States,1885,2.65625,2.13546,1.71378,0.421681,0.942475,12.9538,2.2332,4.08,0,0
111,United States,1886,2.50663,1.80661,1.42976,0.376844,1.07687,11.5904,10.164,3.81,0,0
111,United States,1887,2.68394,1.93621,1.5912,0.345006,1.09274,10.5903,3.05403,3.87,0,0
111,United States,1888,2.77667,1.96153,1.63416,0.327367,1.14251,10.1371,-2.83537,3.8,0,0
111,United States,1889,2.66032,2.05711,1.7753,0.281813,0.885023,8.58802,6.29501,3.66,0,0
111,United States,1890,2.77738,2.19142,1.94269,0.248736,0.834693,7.73374,2.16521,3.78,0,0
111,United States,1891,2.52321,2.35073,2.10943,0.241305,0.413785,6.46406,7.35128,3.95,0,0
111,United States,1892,2.26465,2.20139,2.05222,0.149161,0.212423,6.17762,1.99117,3.83,0,0
111,United States,1893,2.53779,2.52238,2.34305,0.179333,0.194738,6.32396,-3.31549,3.93,0,0
111,United States,1894,2.24881,2.69783,2.49346,0.204368,-0.244652,7.46457,-5.37181,7.4237,0,0
111,United States,1895,2.09827,2.3016,2.10143,0.200168,-0.003153,7.08783,15.3827,7.43615,0,0
111,United States,1896,2.21094,2.30273,2.07136,0.231365,0.139584,7.99483,-1.5289,3.63,0,0
111,United States,1897,2.18363,2.297,2.05968,0.237321,0.123957,7.70406,5.72576,3.44,0,0
111,United States,1898,2.44464,2.67412,2.44743,0.226689,-0.002792,7.43512,2.79543,3.38,0,0
111,United States,1899,2.78702,3.26836,3.05286,0.215508,-0.265835,7.7605,9.90034,3.24,0,0
111,United States,1900,2.9406,2.70016,2.49197,0.208191,0.448626,6.5496,2.0641,3.3,0,0
111,United States,1901,2.71674,2.42519,2.27568,0.149515,0.441064,5.64706,11.528,3.25,0,0
111,United States,1902,2.53414,2.18613,2.05499,0.131141,0.479149,5.3074,1.08956,-0.7,0,0
111,United States,1903,2.31589,2.13093,2.01323,0.117698,0.302658,4.77869,6.54094,-0.396154,0,0
