DATE,USA,GBR,DEU,FRA,JPN,CAN,ESP,SWE,ITA
1950-01-01,,,,,,,,,
1950-04-01,,,,,,,,,
1950-07-01,,,,,,,,,
1950-10-01,,,,,,,,,
1951-01-01,,,,,,,,,
1951-04-01,,,,,,,,,
1951-07-01,,,,,,,,,
1951-10-01,,,,,,,,,
1952-01-01,,,,,,,,,
1952-04-01,,,,,,,,,
1952-07-01,,,,,,,,,
1952-10-01,,,,,,,,,
1953-01-01,,,,,,,,,
1953-04-01,,,,,,,,,
1953-07-01,,,,,,,,,
1953-10-01,,,,,,,,,
1954-01-01,,,,,,,,,
1954-04-01,,,,,,,,,
1954-07-01,-0.23713,,,,,,,,
1954-10-01,-1.23165,,,,,,,,
1955-01-01,-2.03247,,,,,,,,
1955-04-01,-0.52997,3.97034,,0.76892,,,,,
1955-07-01,-0.12063,0.93836,,0.95033,,,,,
1955-10-01,0.7587,2.56675,,0.61498,,,,,
1956-01-01,1.86328,2.67449,,1.21266,,,,,
1956-04-01,1.25981,4.09758,,-0.453,,,,,
1956-07-01,1.64617,3.90569,,0.77144,,,,,
1956-10-01,0.87248,2.96644,,0.10722,,,,,
1957-01-01,0.91396,5.02248,,1.18301,,,,,
1957-04-01,2.53251,3.52697,,3.75728,,,,,
1957-07-01,1.64371,3.56512,,1.14388,,,,,
1957-10-01,4.20773,4.74302,,1.68444,,,,,
1958-01-01,3.39458,4.98422,,0.57435,,,,,
1958-04-01,0.00063,6.59474,,4.44801,,,,,
1958-07-01,-1.61993,2.78321,,4.82439,,,,,
1958-10-01,-0.65488,3.28655,,4.51164,,,,,
1959-01-01,0.43171,3.93264,,2.57482,,,,,
1959-04-01,0.5169,0.68462,,0.47757,,,,,
1959-07-01,3.38923,3.80453,,2.06394,,,,,
1959-10-01,3.20935,0.52089,,0.53101,,,,,
1960-01-01,1.285,3.31893,,1.82802,,,,,
1960-04-01,3.81044,4.37203,,1.24313,,,,,
1960-07-01,2.33193,4.51546,,2.17524,,,,,
1960-10-01,3.19744,3.15838,,1.7719,,,,,
1961-01-01,1.11292,2.63838,,1.35406,,,,,
1961-04-01,-0.37661,5.36049,,2.79148,,0.74733,,,
1961-07-01,-0.25757,3.57019,,1.03603,,0.18241,,,
1961-10-01,0.04168,7.14943,,0.86697,,1.00868,,,
1962-01-01,0.12162,4.4548,,-0.53975,,0.89099,,,
1962-04-01,1.36672,2.05689,,0.93829,,3.33551,,,
1962-07-01,1.68837,3.45067,,1.03163,,3.75047,,,
1962-10-01,2.34585,3.92009,,0.99545,,1.86285,,,
1963-01-01,1.40419,4.77769,,3.33864,,3.27168,,,
1963-04-01,1.49862,-1.13514,,-2.29965,,1.81563,,,
1963-07-01,1.24073,2.47044,,-1.1189,,2.15305,,,
1963-10-01,1.93062,0.82238,,4.24048,,-0.19026,,,
1964-01-01,0.97069,4.43687,,1.80056,,1.80265,,,
1964-04-01,2.04461,1.59689,,3.39197,,2.44823,,,
